latlong,lat,long,location_meta,name,URL,type
"(21.300091, -157.816147)",21.300091,-157.816147,,Kahualike,https://kahualike.manoa.hawaii.edu,Institutional repository/Database
"(-22.302560, 166.442910) Headquarters address co-ordinates.",-22.302560,166.442910,Headquarters address co-ordinates.,(SPC) The Pacific Community,https://www.spc.int/,Institutional repository/Database
"(-22.302560, 166.442910) Product of SPC.",-22.302560,166.442910,Product of SPC.,Pacific Data Hub,https://pacificdata.org/,Institutional repository/Database
"(-22.302560, 166.442910) Product of SPC.",-22.302560,166.442910,Product of SPC.,(PRDRforSE4ALL) Pacific Regional Data Repository for Sustainable Energy for All,http://prdrse4all.spc.int/,Institutional repository/Database
"(-22.302560, 166.442910) Product of SPC.",-22.302560,166.442910,Product of SPC.,Pacific Data Hub - Microdata Library,https://microdata.pacificdata.org/index.php/home,Institutional repository/Database
"(21.300091, -157.816147)",21.300091,-157.816147,,ScholarSpace,https://scholarspace.manoa.hawaii.edu,Institutional repository/Database
"(21.300091, -157.816147)",21.300091,-157.816147,,eVOls,https://evols.library.manoa.hawaii.edu,Institutional repository/Database
"(-36.85139, 174.76941) Physical address for General Library",-36.85139,174.76941,Physical address for General Library,ResearchSpace,https://researchspace.auckland.ac.nz/,Institutional repository/Database
"(-36.851080, 174.765280) Auckland Libraries",-36.851080,174.765280,Auckland Libraries,Heritage Images,http://www.aucklandcity.govt.nz/dbtw-wpd/heritageimages/index.htm,Institutional repository/Database
"(-36.851080, 174.765280) Auckland Libraries.",-36.851080,174.765280,Auckland Libraries.,Heritage et AL,https://heritageetal.blogspot.com/,Institutional repository/Database
"(-22.302560, 166.442910) Part of SPC.",-22.302560,166.442910,Part of SPC.,PacGeo,http://www.pacgeo.org/,Institutional repository/Database
"(-22.302560, 166.442910) Part of SPC. (Contact not working)",-22.302560,166.442910,Part of SPC. (Contact not working),Pacific Projections Repository,http://pacificprojections.spc.int/,Institutional repository/Database
"(-36.85139, 174.76941) Physical address for General Library",-36.85139,174.76941,Physical address for General Library,The Journal of the Polynesian Society,http://www.jps.auckland.ac.nz/,Institutional repository/Database
"(-37.823070, 145.037710)",-37.823070,145.037710,,APO Analysis Policy Observation,https://apo.org.au/collection/300031/pacific-research,Institutional repository/Database
"(-36.851080, 174.765280) Auckland Libraries.",-36.851080,174.765280,Auckland Libraries.,Kura Heritage Collections Online,https://kura.aucklandlibraries.govt.nz/digital/,Institutional repository/Database
"(-36.85139, 174.76941) Physical address for General Library",-36.85139,174.76941,Physical address for General Library,Pacific Studies Databases,https://www.library.auckland.ac.nz/databases/collections/?collection_id=223,Institutional repository/Database
"(-34.9182742901605, 138.6045046576693)",-34.9182742901605,138.6045046576693,,University of Adelaide,https://www.adelaide.edu.au/library/special/pacific/,Institutional repository/Database
,,,,PARADISEC,,Institutional repository/Database
,,,,The Univeristy of Hawai'i Manoa,,Institutional repository/Database
"(-18.117280, 178.457160)",-18.117280,178.457160,,(WACOP) Changing Waves and Coast in the Pacific,http://wacop.gsd.spc.int/index.html,Projects/ Portal
"(-22.302560, 166.442910) Part of SPC.",-22.302560,166.442910,Part of SPC.,Pacific Ocean Portal,http://oceanportal.spc.int/portal/ocean.html,Projects/ Portal
"(52.203110, 0.121830) (Contact not working)",52.203110,0.121830,(Contact not working),Artefacts of Encounter,http://maa.cam.ac.uk/aofe/index.html,Projects/ Portal
"(-36.858780, 174.775406)",-36.858780,174.775406,,Pacific Collection Access Project,https://www.aucklandmuseum.com/discover/research/research-projects/pacific-collection-access-project,Projects/ Portal
"(-35.282940, 149.118760) ANU physical address.",-35.282940,149.118760,ANU physical address.,Pacific Manuscripts Bureau,http://asiapacific.anu.edu.au/pambu/catalogue/index.php/,Archives/ Manuscripts
"(-36.851210, 174.771700)",-36.851210,174.771700,,Archive of Maori and Pacific Sound,https://www.library.auckland.ac.nz/about-us/collections/special-collections/amps,Archives/ Manuscripts
,,,,Pacific and Regional Archive for Digital Sources in Edangered Cultures,,Archives/ Manuscripts
,,,,Papers Past,,Archives/ Manuscripts
"(-36.85139, 174.76941) Physical address for General Library",-36.85139,174.76941,Physical address for General Library,The University of Auckland Art Collection,https://artcollection.auckland.ac.nz/,Artefacts/Objects/Art Collections
"(-36.853960, 174.768540)",-36.853960,174.768540,,Elam Artists,https://elamartists.ac.nz/,Artefacts/Objects/Art Collections
"(-36.85784, 174.75796)",-36.85784,174.75796,,Tautai - Guiding Pacific Artist,http://www.tautai.org,Artefacts/Objects/Art Collections
"(-36.85139, 174.76941) Physical address for General Library",-36.85139,174.76941,Physical address for General Library,Maori Feather and Fibre Taonga in Museums Collection,https://www.library.auckland.ac.nz/databases/record/?record=MaoFeaandFibTaoinMusCol,Artefacts/Objects/Art Collections
"(-43.52331885146516, 172.58599874458488)",-43.52331885146516,172.58599874458488,,Ka Kohika o Macmillan Brown (Archives & Art Collections),http://kohika.canterbury.ac.nz/opac_canterbury/scripts/mwimain.dll?logon&application=UNION_VIEW&language=144&file=[opac_canterbury]search.html,Artefacts/Objects/Art Collections
"(-36.851210, 174.771700)",-36.851210,174.771700,,Fagogo. Fables from Samoa,http://www.fagogo.auckland.ac.nz/about.html,Special Collection
"(-41.28822084690381, 174.76884208540153)",-41.28822084690381,174.76884208540153,,(NZETC) New Zealand Electronic Text Collection,http://nzetc.victoria.ac.nz/,Special Collection
"(-13.830323, -171.766660)",-13.830323,-171.766660,,Samoa Bureau of Statistics,https://www.sbs.gov.ws,Census & Statistics
"(-22.302839, 166.444885)",-22.302839,166.444885,,(SDD) Statistics for Development Division,https://sdd.spc.int/,Census & Statistics
"(-4128508, 174.77414) ",-4128508,174.77414, ,(RNZ) Pacific,https://www.rnz.co.nz/international,Other
"(-17.733252, 168.327332)",-17.733252,168.327332,,(PacLII) Pacific Islands Legal Information Institute,http://www.paclii.org/,Other
"(19.71770188120812, -155.0663351884945)",19.71770188120812,-155.0663351884945,,Merrie Monarch Festival,https://www.merriemonarch.com/,Other
,,,,Auckland Libraries,https://www.aucklandlibraries.govt.nz/Pages/pacific-collections-and-resources.aspx,Other